Tipo,Fecha,Detonante,Fuente,Incertidum,Numeracion,Cluster,Margenes,Nacimiento,Vias_Princ,Vias_Secun,Sin_Clasif,Geohazards,SIMMA,Categoria
Debris Flow,2021-02-28,Rainfall,DAGRAN,mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1973-06-25,Rainfall,BDOSSO-EL TIEMPO 1973-06-28 P.8A,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,1999-07-14,Rainfall,Corantioquia,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2021-10-07,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1986-10-03,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2008-06-30,Rainfall,Alcaldía,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1971-03-28,Rainfall,El Colombiano,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,1950-12-04,Rainfall,EL COLOMBIANO,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2021-11-08,Rainfall,Minuto 30,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-09-15,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-11-10,Rainfall,Unknown,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-05-17,Rainfall,Devimar,low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-05-17,Rainfall,Caracol Radio,low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-04-04,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-05-17,Rainfall,Blue Radio,low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-04-04,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-05-12,Rainfall,Secretario Planeación,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-10-21,Rainfall,DAGRAN,low,6,0,0,0,0,0,0,1,0,GH
Landslide,1974-10-03,Rainfall,BDOD-21030-EL TIEMPO 1974-10-07 P.ppal-7,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-06-16,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-11-21,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1938-10-11,Rainfall,El Colombiano,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1971-10-06,Rainfall,EL COLOMBIANO,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-08-04,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1942-04-25,Rainfall,El Colombiano,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2003-05-19,Rainfall,Unknown,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2003-09-28,Rainfall,Clopad,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2008-11-24,Rainfall,Secretaría Planeación,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2013-05-21,Rainfall,Reporte Cmgrd,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2021-03-09,Rainfall,DAGRAN,mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-07-06,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-04-24,Rainfall,Planeación Municipal,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2005-05-13,Rainfall,Alcalde y Secretario de Planeación.,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-02-26,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2007-05-02,Rainfall,Director Planeación,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-11-02,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-10-25,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-03-01,Rainfall,Dagran,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2007-10-20,Rainfall,Alcaldesa,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1941-12-09,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2007-11-05,Rainfall,Clopad Municipio. de Fredonia,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2008-09-02,Rainfall,Secretaría de Gobierno,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-06-25,Rainfall,x,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2024-06-24,Rainfall,InfoBae,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,1971-05-10,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1989-09-12,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1975-10-09,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1975-12-17,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1982-04-12,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1984-11-04,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1984-11-06,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1984-11-09,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-05-30,Rainfall,Dapard.,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-03-16,Rainfall,Dapard.,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-03-17,Rainfall,Dapard.,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-06-03,Rainfall,Dapard.,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-03-20,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2008-03-13,Rainfall,Alcalde,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2005-11-20,Rainfall,Alcaldía,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-05-08,Rainfall,Secretario de Gobierno,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2007-10-20,Rainfall,Secretaría de Planeación,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2007-12-17,Rainfall,Clopad y Alcalde,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2008-05-21,Rainfall,Alcalde Municipal,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2017-05-07,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2017-06-19,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2017-05-10,Rainfall,Telenatioquia Noticias,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2019-05-26,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-09-02,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-09-15,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-06-06,Rainfall,Revista Semana,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-09-15,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,1973-06-17,Rainfall,El Colombiano,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-06-06,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-04-03,Rainfall,Dagran,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-05-03,Rainfall,InfoBae,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-03-31,Rainfall,Invias,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-06-13,Rainfall,Guardianes Antioquia,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2020-08-26,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2020-08-26,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2022-06-25,Rainfall,Dagran,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-06-30,Rainfall,Dagran,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2003-05-24,Rainfall,Sisa,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-06-22,Rainfall,Hora 13,mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-10-14,Rainfall,Subsecretario de Gobierno Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2002-06-04,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2003-09-24,Rainfall,Municipio de Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2003-10-28,Rainfall,Municipio de Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-03-22,Rainfall,Secretario de Gobierno Municipal,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-06-03,Rainfall,Subsecretario de Gobierno,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2013-06-17,Rainfall,Reporte Cmgrd,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1988-05-27,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-07-19,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2002-06-05,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2006-03-30,Rainfall,Secretario de Gobierno Municipal,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-10-02,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-05-15,Rainfall,Bomberos Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-10-16,Rainfall,Periodico El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2012-05-08,Rainfall,Noticias Caracol - Página Web,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2008-10-12,Rainfall,Hora 13,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2001-09-23,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2005-11-07,Rainfall,Amva,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-06-02,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-01-10,Rainfall,Periodico El Mundo Enero 17/06,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-04-08,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2008-07-13,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-10-09,Rainfall,Bombero de Municipio de Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-10-08,Rainfall,Bomberos Municipio de Itagüi.,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1994-11-08,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2011-02-09,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2005-05-12,Rainfall,Sisa,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-01-21,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-10-02,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-06-01,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-16,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-04-08,Rainfall,Bomberos Itagüí y El Colombiano 02/4/10,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-07-19,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-11-11,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2005-11-07,Rainfall,Clopad,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2022-09-17,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2000-10-01,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2006-04-18,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2005-05-13,Rainfall,Sisa,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2004-09-29,Rainfall,Periódico El Mundo,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-06-15,Rainfall,Alcaldía de Sabaneta,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-04,Rainfall,Bomberos Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-21,Rainfall,Bomberos Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-05-24,Rainfall,Bomberos Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2015-04-15,Rainfall,Secretaría de Medio Ambiente,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-06-15,Rainfall,Alcaldía de Sabaneta,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-06-15,Rainfall,Alcaldía de Sabaneta,Low,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1983-05-11,Rainfall,Cruz Roja Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1989-10-14,Rainfall,Bomberos de Ponqué Ramo,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-06-05,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1996-06-14,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,1998-04-25,Rainfall,Bomberos de Sabaneta,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2004-10-19,Rainfall,Periódico El Mundo,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2002-04-23,Rainfall,Bomberos La Estrella,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2006-01-10,Rainfall,Periódico El Mundo,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2010-11-12,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2010-11-20,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-05-08,Rainfall,El Tiempo,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2024-05-08,Rainfall,El Tiempo,Low,6,0,0,0,0,0,0,1,0,GH
Landslide,2006-01-10,Rainfall,Defensa Civil,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1997-06-18,Rainfall,Bomberos de Envigado,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1997-06-17,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2007-05-07,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1994-11-07,Rainfall,El Colombiano,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-04-08,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-03-10,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-03-09,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-11-13,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,1999-11-13,Rainfall,Cuerpo de Bomberos de Itaguí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-10-15,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
Debris Flow,2001-10-14,Rainfall,Bomberos Itagüí,Mid,6,0,0,0,0,0,0,1,0,GH
